epoch	batch	loss	probs	lr
1	0	2.6211793422698975	0.18785473704338074	0.01
1	1	1.7157635688781738	0.8398547172546387	0.01
1	2	1.5749887228012085	0.99930739402771	0.01
2	0	1.5113643407821655	0.9440311193466187	0.01
2	1	1.4295467138290405	0.9999194741249084	0.01
2	2	1.3697781562805176	0.9999772310256958	0.01
3	0	1.3140249252319336	0.9999717473983765	0.01
3	1	1.2640330791473389	0.9999839067459106	0.01
3	2	1.215663194656372	0.9999894499778748	0.01
4	0	1.1703996658325195	0.9999818205833435	0.01
4	1	1.1286170482635498	0.9999867081642151	0.01
4	2	1.0888574123382568	0.9999925494194031	0.01
5	0	1.052245020866394	0.9999815821647644	0.01
5	1	1.0180702209472656	0.9999872446060181	0.01
5	2	0.9861724376678467	0.999994158744812	0.01
6	0	0.956865668296814	0.9999769330024719	0.01
6	1	0.9297084212303162	0.9999871850013733	0.01
6	2	0.9046716094017029	0.9999948143959045	0.01
7	0	0.8816261291503906	0.9999672770500183	0.01
7	1	0.8603588938713074	0.9999868869781494	0.01
7	2	0.8409504294395447	0.9999950528144836	0.01
8	0	0.8231059908866882	0.9999548196792603	0.01
8	1	0.806707501411438	0.9999871850013733	0.01
8	2	0.7918345928192139	0.9999954104423523	0.01
9	0	0.7782084941864014	0.9999438524246216	0.01
9	1	0.765720784664154	0.9999881386756897	0.01
9	2	0.7544519901275635	0.9999955296516418	0.01
10	0	0.7441822290420532	0.9999386668205261	0.01
10	1	0.7347601056098938	0.9999887943267822	0.01
10	2	0.7263058423995972	0.9999955296516418	0.01
11	0	0.7186443209648132	0.9999396204948425	0.01
11	1	0.7115876078605652	0.99998939037323	0.01
11	2	0.7052944898605347	0.9999958872795105	0.01
12	0	0.6996137499809265	0.9999458193778992	0.01
12	1	0.694364070892334	0.9999899864196777	0.01
12	2	0.6897048354148865	0.9999960064888	0.01
13	0	0.6855161190032959	0.999954104423523	0.01
13	1	0.6816282272338867	0.9999904632568359	0.01
13	2	0.6781930327415466	0.9999960064888	0.01
14	0	0.6751156449317932	0.999961793422699	0.01
14	1	0.6722468137741089	0.9999909400939941	0.01
14	2	0.66972416639328	0.9999961853027344	0.01
15	0	0.6674673557281494	0.999968409538269	0.01
15	1	0.6653544902801514	0.9999914765357971	0.01
15	2	0.6635088920593262	0.9999961853027344	0.01
16	0	0.6618574857711792	0.9999732971191406	0.01
16	1	0.6603046655654907	0.9999919533729553	0.01
16	2	0.6589558124542236	0.9999961853027344	0.01
17	0	0.6577503085136414	0.9999768137931824	0.01
17	1	0.6566085815429688	0.9999922513961792	0.01
17	2	0.6556253433227539	0.9999963641166687	0.01
18	0	0.6547467112541199	0.9999793767929077	0.01
18	1	0.6539073586463928	0.9999924302101135	0.01
18	2	0.6531919836997986	0.9999963641166687	0.01
19	0	0.6525518298149109	0.9999812245368958	0.01
19	1	0.6519342064857483	0.9999927282333374	0.01
19	2	0.6514147520065308	0.9999963641166687	0.01
20	0	0.6509500741958618	0.9999827146530151	0.01
20	1	0.6504948139190674	0.9999929070472717	0.01
20	2	0.6501182317733765	0.9999964833259583	0.01
21	0	0.6497815251350403	0.9999838471412659	0.01
21	1	0.6494444012641907	0.9999929666519165	0.01
21	2	0.6491727232933044	0.9999964833259583	0.01
22	0	0.6489292979240417	0.999984622001648	0.01
22	1	0.6486783623695374	0.9999932050704956	0.01
22	2	0.6484830975532532	0.9999964833259583	0.01
23	0	0.6483078002929688	0.9999852776527405	0.01
23	1	0.6481205821037292	0.9999932050704956	0.01
23	2	0.647980272769928	0.9999964833259583	0.01
24	0	0.647855818271637	0.9999857544898987	0.01
24	1	0.6477139592170715	0.9999933838844299	0.01
24	2	0.6476141810417175	0.9999964833259583	0.01
25	0	0.6475256681442261	0.9999862313270569	0.01
25	1	0.6474180221557617	0.9999933838844299	0.01
25	2	0.6473472118377686	0.9999964833259583	0.01
26	0	0.6472846865653992	0.9999867081642151	0.01
26	1	0.6472032070159912	0.9999933838844299	0.01
26	2	0.6471529006958008	0.9999964833259583	0.01
27	0	0.647109866142273	0.9999869465827942	0.01
27	1	0.6470460295677185	0.9999934434890747	0.01
27	2	0.6470113396644592	0.9999966621398926	0.01
28	0	0.6469823718070984	0.9999872446060181	0.01
28	1	0.6469318866729736	0.9999935626983643	0.01
28	2	0.6469082236289978	0.9999966621398926	0.01
29	0	0.6468897461891174	0.9999876022338867	0.01
29	1	0.6468489766120911	0.9999935626983643	0.01
29	2	0.646833598613739	0.9999966621398926	0.01
30	0	0.6468221545219421	0.9999878406524658	0.01
30	1	0.6467887163162231	0.999993622303009	0.01
30	2	0.6467790007591248	0.9999966621398926	0.01
31	0	0.646773099899292	0.9999881386756897	0.01
31	1	0.6467448472976685	0.9999936819076538	0.01
31	2	0.6467396020889282	0.9999966621398926	0.01
32	0	0.646737277507782	0.9999883770942688	0.01
32	1	0.646713137626648	0.9999936819076538	0.01
32	2	0.6467108130455017	0.9999966621398926	0.01
33	0	0.6467110514640808	0.9999886155128479	0.01
33	1	0.6466901898384094	0.9999938011169434	0.01
33	2	0.6466901302337646	0.9999966621398926	0.01
34	0	0.6466923356056213	0.9999887943267822	0.01
34	1	0.6466735601425171	0.9999938607215881	0.01
34	2	0.6466745734214783	0.9999966621398926	0.01
35	0	0.646678626537323	0.9999890327453613	0.01
35	1	0.646661102771759	0.9999938607215881	0.01
35	2	0.6466637849807739	0.9999966621398926	0.01
36	0	0.646668553352356	0.9999892711639404	0.01
36	1	0.6466525793075562	0.9999940395355225	0.01
36	2	0.6466559171676636	0.9999966621398926	0.01
37	0	0.646661102771759	0.9999894499778748	0.01
37	1	0.64664626121521	0.9999940395355225	0.01
37	2	0.646649956703186	0.9999966621398926	0.01
38	0	0.6466560363769531	0.9999896287918091	0.01
38	1	0.646641731262207	0.9999940395355225	0.01
