epoch	batch	loss	probs	lr
38	2	0.6466460824012756	0.9999966621398926	0.01
39	0	0.646652102470398	0.9999896883964539	0.01
39	1	0.6466383337974548	0.9999940395355225	0.01
39	2	0.6466428637504578	0.9999966621398926	0.01
40	0	0.6466493606567383	0.9999898672103882	0.01
40	1	0.6466361284255981	0.9999940395355225	0.01
40	2	0.6466406583786011	0.9999966621398926	0.01
41	0	0.6466475129127502	0.9999899864196777	0.01
41	1	0.6466347575187683	0.9999940991401672	0.01
41	2	0.6466389894485474	0.9999966621398926	0.01
42	0	0.6466460227966309	0.9999901652336121	0.01
42	1	0.6466334462165833	0.999994158744812	0.01
42	2	0.6466377377510071	0.9999966621398926	0.01
43	0	0.6466449499130249	0.9999902248382568	0.01
43	1	0.6466327905654907	0.999994158744812	0.01
43	2	0.6466368436813354	0.9999966621398926	0.01
44	0	0.6466443538665771	0.9999903440475464	0.01
44	1	0.646632194519043	0.999994158744812	0.01
44	2	0.6466364860534668	0.9999966621398926	0.01
45	0	0.6466435194015503	0.9999904632568359	0.01
45	1	0.6466319561004639	0.9999943375587463	0.01
45	2	0.6466360092163086	0.9999966621398926	0.01
46	0	0.6466434001922607	0.9999905824661255	0.01
46	1	0.6466317176818848	0.9999943375587463	0.01
46	2	0.6466360092163086	0.9999966621398926	0.01
47	0	0.6466427445411682	0.9999906420707703	0.01
47	1	0.6466315984725952	0.9999943375587463	0.01
47	2	0.6466357707977295	0.9999966621398926	0.01
48	0	0.6466426849365234	0.9999908208847046	0.01
48	1	0.6466314792633057	0.9999945163726807	0.01
48	2	0.6466357111930847	0.9999966621398926	0.01
49	0	0.6466426849365234	0.9999908208847046	0.01
49	1	0.6466314196586609	0.9999945163726807	0.01
49	2	0.6466358304023743	0.9999966621398926	0.01
50	0	0.6466421484947205	0.9999909400939941	0.01
50	1	0.6466313004493713	0.9999945163726807	0.01
50	2	0.6466354131698608	0.9999966621398926	0.01
51	0	0.6466420292854309	0.9999911189079285	0.01
51	1	0.6466311812400818	0.9999945163726807	0.01
51	2	0.6466354131698608	0.9999966621398926	0.01
52	0	0.6466421484947205	0.9999911189079285	0.01
52	1	0.6466315984725952	0.9999945163726807	0.01
52	2	0.6466354131698608	0.9999966621398926	0.01
53	0	0.6466419696807861	0.9999911189079285	0.01
53	1	0.6466320157051086	0.9999946355819702	0.01
53	2	0.6466354131698608	0.9999966621398926	0.01
54	0	0.6466419100761414	0.9999912977218628	0.01
54	1	0.6466318368911743	0.9999946355819702	0.01
54	2	0.6466355919837952	0.9999966621398926	0.01
55	0	0.6466416716575623	0.9999912977218628	0.01
55	1	0.6466320753097534	0.9999946355819702	0.01
55	2	0.6466357111930847	0.9999966621398926	0.01
56	0	0.6466415524482727	0.9999914765357971	0.01
56	1	0.6466318964958191	0.9999946355819702	0.01
56	2	0.6466356515884399	0.9999966621398926	0.01
57	0	0.6466416716575623	0.9999915361404419	0.01
57	1	0.6466322541236877	0.9999946355819702	0.01
57	2	0.6466354727745056	0.9999966621398926	0.01
58	0	0.6466413140296936	0.9999915957450867	0.01
58	1	0.646632194519043	0.9999946355819702	0.01
58	2	0.6466357111930847	0.9999966621398926	0.01
59	0	0.6466412544250488	0.9999915957450867	0.01
59	1	0.6466321349143982	0.9999946355819702	0.01
59	2	0.6466357111930847	0.9999966621398926	0.01
60	0	0.6466410160064697	0.9999917149543762	0.01
60	1	0.6466324329376221	0.9999947547912598	0.01
60	2	0.6466360092163086	0.9999966621398926	0.01
61	0	0.646641194820404	0.999991774559021	0.01
61	1	0.6466326117515564	0.9999947547912598	0.01
61	2	0.6466357707977295	0.9999966621398926	0.01
62	0	0.6466410756111145	0.999991774559021	0.01
62	1	0.6466324329376221	0.9999948143959045	0.01
62	2	0.6466356515884399	0.9999966621398926	0.01
63	0	0.646641194820404	0.9999919533729553	0.01
63	1	0.6466327905654907	0.9999948143959045	0.01
63	2	0.6466356515884399	0.9999966621398926	0.01
64	0	0.6466413140296936	0.9999919533729553	0.01
64	1	0.6466326117515564	0.9999948740005493	0.01
64	2	0.6466356515884399	0.9999966621398926	0.01
65	0	0.6466410756111145	0.9999919533729553	0.01
65	1	0.6466326713562012	0.9999948740005493	0.01
65	2	0.6466357707977295	0.9999966621398926	0.01
66	0	0.6466410160064697	0.9999920725822449	0.01
66	1	0.646632730960846	0.9999948740005493	0.01
66	2	0.6466355919837952	0.9999966621398926	0.01
67	0	0.6466408967971802	0.9999920725822449	0.01
67	1	0.6466332077980042	0.9999948740005493	0.01
67	2	0.6466357707977295	0.9999966621398926	0.01
68	0	0.6466410160064697	0.9999920725822449	0.01
68	1	0.6466331481933594	0.9999948740005493	0.01
68	2	0.6466357707977295	0.9999966621398926	0.01
69	0	0.646640956401825	0.9999921917915344	0.01
69	1	0.6466334462165833	0.9999948740005493	0.01
69	2	0.6466355919837952	0.9999966621398926	0.01
70	0	0.6466407775878906	0.9999922513961792	0.01
70	1	0.6466333866119385	0.9999949932098389	0.01
70	2	0.6466358304023743	0.9999968409538269	0.01
71	0	0.6466408371925354	0.9999922513961792	0.01
71	1	0.6466332674026489	0.9999949932098389	0.01
71	2	0.6466356515884399	0.9999968409538269	0.01
72	0	0.6466407775878906	0.9999922513961792	0.01
72	1	0.6466333270072937	0.9999950528144836	0.01
72	2	0.6466357707977295	0.9999968409538269	0.01
73	0	0.6466404795646667	0.9999924302101135	0.01
73	1	0.6466336250305176	0.9999950528144836	0.01
73	2	0.6466358304023743	0.9999968409538269	0.01
74	0	0.6466406583786011	0.9999924302101135	0.01
74	1	0.6466336250305176	0.9999950528144836	0.01
74	2	0.6466358304023743	0.9999968409538269	0.01
75	0	0.6466404795646667	0.9999924302101135	0.01
75	1	0.6466335654258728	0.9999950528144836	0.01
75	2	0.6466358304023743	0.9999968409538269	0.01
76	0	0.646640419960022	0.9999924302101135	0.01
76	1	0.6466337442398071	0.9999950528144836	0.01
76	2	0.6466358304023743	0.9999968409538269	0.01
77	0	0.6466405987739563	0.9999925494194031	0.01
77	1	0.6466337442398071	0.9999950528144836	0.01
77	2	0.646635890007019	0.9999968409538269	0.01
78	0	0.6466405391693115	0.9999925494194031	0.01
78	1	0.6466336846351624	0.9999950528144836	0.01
78	2	0.6466358304023743	0.9999968409538269	0.01
79	0	0.6466403007507324	0.9999926686286926	0.01
79	1	0.6466336846351624	0.9999950528144836	0.01
79	2	0.6466356515884399	0.9999968409538269	0.01
80	0	0.646640419960022	0.9999926686286926	0.01
80	1	0.6466336846351624	0.9999950528144836	0.01
80	2	0.646635890007019	0.9999968409538269	0.01
81	0	0.646640419960022	0.9999926686286926	0.01
81	1	0.6466338634490967	0.9999950528144836	0.01
81	2	0.6466360688209534	0.9999968409538269	0.01
