epoch	loss	probs	lr
1	1.9706438779830933	0.6756722827752432	0.01
2	1.4368964036305745	0.9813092748324076	0.01
3	1.2645737330118816	0.999981701374054	0.01
4	1.1292913754781086	0.9999870260556539	0.01
5	1.0188292264938354	0.9999876618385315	0.01
6	0.9304152329762777	0.9999863107999166	0.01
7	0.8609784841537476	0.9999830722808838	0.01
8	0.8072160283724467	0.9999791383743286	0.01
9	0.7661270896593729	0.999975840250651	0.01
10	0.735082725683848	0.9999743302663168	0.01
11	0.7118421395619711	0.9999749660491943	0.01
12	0.6945608854293823	0.9999772707621256	0.01
13	0.681779126326243	0.9999801913897196	0.01
14	0.672362208366394	0.9999829729398092	0.01
15	0.6654435793558756	0.9999853571256002	0.01
16	0.6603726545969645	0.9999871452649435	0.01
17	0.6566614111264547	0.9999884764353434	0.01
18	0.6539486845334371	0.99998939037323	0.01
19	0.65196692943573	0.9999901056289673	0.01
20	0.6505210399627686	0.999990701675415	0.01
21	0.6494662165641785	0.9999910990397135	0.01
22	0.6486969192822775	0.9999914367993673	0.01
23	0.6481362183888754	0.9999916553497314	0.01
24	0.6477279861768087	0.9999918739000956	0.01
25	0.6474303007125854	0.9999920328458151	0.01
26	0.6472135980923971	0.9999921917915344	0.01
27	0.6470557451248169	0.9999923507372538	0.01
28	0.6469408273696899	0.9999924898147583	0.01
29	0.6468574404716492	0.9999926090240479	0.01
30	0.6467966238657633	0.9999927083651224	0.01
31	0.6467525164286295	0.999992827574412	0.01
32	0.6467204093933105	0.9999929070472717	0.01
33	0.6466971238454183	0.9999930262565613	0.01
34	0.6466801563898722	0.999993105729421	0.01
35	0.6466678380966187	0.9999931852022806	0.01
36	0.6466590166091919	0.9999933242797852	0.01
37	0.6466524402300516	0.9999933838844299	0.01
38	0.6466479500134786	0.9999934434890747	0.01
39	0.6466444333394369	0.9999934633572897	0.01
40	0.6466420491536459	0.9999935229619344	0.01
41	0.646640419960022	0.9999935825665792	0.01
42	0.6466390689214071	0.9999936620394388	0.01
43	0.6466381947199503	0.9999936819076538	0.01
44	0.6466376781463623	0.9999937216440836	0.01
45	0.6466371615727743	0.9999938209851583	0.01
46	0.6466370423634847	0.9999938607215881	0.01
47	0.6466367046038309	0.9999938805898031	0.01
48	0.6466366251309713	0.9999939997990926	0.01
49	0.6466366449991862	0.9999939997990926	0.01
50	0.6466362873713175	0.9999940395355225	0.01
51	0.6466362078984579	0.9999940991401672	0.01
52	0.6466363867123922	0.9999940991401672	0.01
53	0.6466364661852518	0.999994138876597	0.01
54	0.646636446317037	0.9999941984812418	0.01
55	0.6466364860534668	0.9999941984812418	0.01
56	0.6466363668441772	0.9999942580858866	0.01
57	0.6466364661852518	0.9999942779541016	0.01
58	0.6466364065806071	0.9999942978223165	0.01
59	0.6466363668441772	0.9999942978223165	0.01
60	0.6466364860534668	0.9999943772951762	0.01
61	0.6466365257898966	0.9999943971633911	0.01
62	0.6466363867123922	0.9999944170316061	0.01
63	0.6466365456581116	0.9999944766362509	0.01
64	0.6466365257898966	0.9999944965044657	0.01
65	0.6466365059216818	0.9999944965044657	0.01
66	0.646636446317037	0.9999945362408956	0.01
67	0.6466366251309713	0.9999945362408956	0.01
68	0.6466366449991862	0.9999945362408956	0.01
69	0.6466366648674011	0.9999945759773254	0.01
70	0.6466366648674011	0.999994695186615	0.01
71	0.6466365853945414	0.999994695186615	0.01
72	0.6466366251309713	0.99999471505483	0.01
73	0.6466366449991862	0.9999947746594747	0.01
74	0.6466367046038309	0.9999947746594747	0.01
75	0.6466366251309713	0.9999947746594747	0.01
76	0.6466366648674011	0.9999947746594747	0.01
77	0.6466367443402609	0.9999948143959045	0.01
78	0.6466366847356161	0.9999948143959045	0.01
79	0.6466365456581116	0.9999948541323344	0.01
80	0.6466366648674011	0.9999948541323344	0.01
81	0.6466367840766907	0.9999948541323344	0.01
